	Domain	Phylum	Class	Order	Family	Genus	Species	RandomForestExp	RandomForestPrefer	pH	SOC	TN	MAT	MaxTWarmM	MAP	PWetM	NDVI	ClusterNames
OTU_845	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Unclassified	Unclassified	80.43144255	pH	0.412691677	-0.18896832	0.263934439						High pH and TN with low SOC
OTU_846	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	52.72204192	MeanTWarmQ			0.182491202		0.170624056			0.21200184	High NDVI
OTU_847	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Unclassified	61.62487339	SMAT				-0.309971819					
OTU_85	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia timonae	-19.53495831	TN									
OTU_855	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unclassified	22.72485018	pH									
OTU_856	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Unclassified	63.79503635	pH		0.226977452				-0.162448914	0.210099981		High PWetM
OTU_857	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Unclassified	Unclassified	55.14300049	SOC	0.14393545	-0.32353378							High pH
OTU_858	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp.	32.30787887	SOC						-0.168100296			
OTU_860	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Mesorhizobium huakuii	33.91628266	pH				-0.184878007				0.150906276	High NDVI
OTU_862	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Unclassified	Unclassified	26.65933677	Isothermality	-0.187681105	-0.195523366		-0.205054079					Low pH
OTU_865	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	metagenome	61.13626393	TN									
OTU_866	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Unclassified	55.23066102	pH	-0.405906648				0.157975329				Low pH low MAT
OTU_868	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	Unclassified	40.19018994	NDVI		0.209852321			0.159177397	-0.192126559	0.221983939		High PWetM
OTU_869	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	Unclassified	45.08346763	pH				-0.347283491	0.214020179			0.18904612	High MaxTWarmM
OTU_870	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	Unclassified	48.90768933	PWetQ						-0.197942963			
OTU_872	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces aureus	22.55200577	TN									
OTU_874	Bacteria	Chloroflexi	KD4-96	Unclassified	Unclassified	Unclassified	Unclassified	47.32589192	pH	-0.220858356	-0.280957548				-0.212040618	0.142501666	0.169255125	Low pH
OTU_876	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	Unclassified	49.2517585	MeanTWarmQ	-0.192067545	0.223337142		0.149329357			0.157829434		Low pH high SOC
OTU_88	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Unclassified	7.153765813	TN									
OTU_881	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	Unclassified	49.85321789	TN	-0.256392588								Low pH
OTU_8820	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Unclassified	Unclassified	Unclassified	45.87057273	pH	-0.201280722								Low pH
OTU_883	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	Unclassified	37.72075021	pH	0.347442149					-0.156021976	0.146572563	0.138585109	High pH
OTU_8880	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unclassified	8.823399224	TN									
OTU_89	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Unclassified	-13.00003239	SMDR									
OTU_891	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	Kribbella karoonensis	-0.221408018	MeanTColdQ	-0.204860294		-0.155273381	-0.165639945	0.221351607				Low pH
OTU_899	Bacteria	NB1-j	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	69.7314629	pH	0.391183274	-0.17561186	0.357691307			0.13314078			High pH and TN with low SOC
OTU_9	Bacteria	Chloroflexi	KD4-96	Unclassified	Unclassified	Unclassified	Unclassified	65.08319039	Isothermality	-0.307999874	-0.271658046	0.18242511	-0.168625469			-0.216653311	0.183336215	Low pH low MAT
